% de avance general,Área,% de avance área,Nombre Iniciativa,Descripción Iniciativa,% de avance Iniciativa,Reporte de avance,Hitos,% asignado hitos,% de avance hitos,% de avance acumulado,N° de iniciativas,N° >80%,Contador (no considerar),N° Hito (no considerar),N° Área (no considerar),>80% (no considerar)
20%,1. Apoyo al Adulto Mayor,31%,Aumentar la cobertura de podología para personas mayores.,Pendiente,25%,Pendiente,Aumento de personal podológico,20%,0%,25%,109,1,,1.11,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear un Establecimiento de Larga Estadía para Adultos Mayores (ELAM) municipal, que albergue a personas mayores sin círculos familiares.",Pendiente,5%,Pendiente,Reunión con SENAMA para determinar lineamientos y exigencias para la creación de un ELEAM,5%,5%,5%,109,1,1,1.12,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear un Establecimiento de Larga Estadía para Adultos Mayores (ELAM) municipal, que albergue a personas mayores sin círculos familiares.",Pendiente,5%,Pendiente,Visitar Centros de Larga Estadía para conocer experiencias en cuanto a la implementación de un ELEAM,5%,0%,5%,109,1,,1.13,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear un Establecimiento de Larga Estadía para Adultos Mayores (ELAM) municipal, que albergue a personas mayores sin círculos familiares.",Pendiente,5%,Pendiente,Diseño del Programa y establecimiento de metodología interna y recursos,10%,0%,5%,109,1,,1.14,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear un Establecimiento de Larga Estadía para Adultos Mayores (ELAM) municipal, que albergue a personas mayores sin círculos familiares.",Pendiente,5%,Pendiente,Definición de líneas de acción de intervención ,5%,0%,5%,109,1,,1.15,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear un Establecimiento de Larga Estadía para Adultos Mayores (ELAM) municipal, que albergue a personas mayores sin círculos familiares.",Pendiente,5%,Pendiente,Adquisición de un inmueble donde implementar el ELEAM,30%,0%,5%,109,1,,1.16,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear un Establecimiento de Larga Estadía para Adultos Mayores (ELAM) municipal, que albergue a personas mayores sin círculos familiares.",Pendiente,5%,Pendiente,Habilitar el inmueble según exigencias de SENAMA,20%,0%,5%,109,1,,1.17,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear un Establecimiento de Larga Estadía para Adultos Mayores (ELAM) municipal, que albergue a personas mayores sin círculos familiares.",Pendiente,5%,Pendiente,Contratar al personal según exigencias de SENAMA,20%,0%,5%,109,1,,1.18,1,0
20%,1. Apoyo al Adulto Mayor,31%,"Crear un Establecimiento de Larga Estadía para Adultos Mayores (ELAM) municipal, que albergue a personas mayores sin círculos familiares.",Pendiente,5%,Pendiente,Implementación de ELEAM Comunal,5%,0%,5%,109,1,,1.19,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,Identificación de alternativas de puntos de carga. Que se ajuste a normativa para uso proyectado,2%,2%,2%,109,1,1,1.20,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,"Definición de punto de carga, según disponibilidad de factibilidad de potencia",5%,5%,7%,109,1,,1.21,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,Definir requerimientos técnicos de buses y solicitar cotizaciones de adquisición y arriendo de buses,10%,10%,17%,109,1,,1.22,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,Preparar estudio de pre inversión del proyecto: análisis de oferta y demanda y evaluación social,15%,15%,32%,109,1,,1.23,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,"Elaboración de especificaciones técnicas, planimetría y presupuesto",5%,5%,37%,109,1,,1.24,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,Ingreso de proyecto al Gobierno Regional ,2%,2%,39%,109,1,,1.25,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,"Proceso de obtención de admisibilidad: revisión, corrección observaciones, admisibilidad",20%,0%,39%,109,1,,1.26,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,Asignación de recursos,20%,0%,39%,109,1,,1.27,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,Tramitación administrativa de convenio y decretos,2%,0%,39%,109,1,,1.28,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,Elaboración de Bases Administrativas y publicación de licitación,5%,0%,39%,109,1,,1.29,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,Adjudicación de los buses,4%,0%,39%,109,1,,1.30,1,0
20%,1. Apoyo al Adulto Mayor,31%,Renovación de dos buses municipales con rampla.,Pendiente,39%,Pendiente,Entrega y operación de los buses,10%,0%,39%,109,1,,1.31,1,0
20%,1. Apoyo al Adulto Mayor,31%,Fortalecer la política de atención de salud para personas mayores en toda la red de salud comunal.,Pendiente,30%,Pendiente,Pendiente,100%,30%,30%,109,1,1,1.32,1,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Creación de un Preuniversitario comunal.,Pendiente,20%,Pendiente,"Establecer objetivos, metodología, alcance y destinatarios/as del preuniversitario comunal.",10%,10%,10%,109,1,1,2.1,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Creación de un Preuniversitario comunal.,Pendiente,20%,Pendiente,Realizar un piloto de preuniversitario en alianza con Gobierno Regional y Preuniversitario en Red,10%,10%,20%,109,1,,2.2,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Creación de un Preuniversitario comunal.,Pendiente,20%,Pendiente,"Coordinar alianzas con organismos externos intervinientes (establecimientos educacionales, instituciones de educación superior, etc) para establecer posibles colaboradores.",10%,0%,20%,109,1,,2.3,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Creación de un Preuniversitario comunal.,Pendiente,20%,Pendiente,"Habilitar sedes para implementar el preuniversitario, considerando la disponibilidad de salas, insumos de oficina, herramientas tecnológicas, e insumos de higiene.",10%,0%,20%,109,1,,2.4,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Creación de un Preuniversitario comunal.,Pendiente,20%,Pendiente,"Realizar planificación anual, considerando implementación de clases, talleres, ensayos PAES, ferias vocacionales, y tutorías oportunas para usuarios/as del preuniversitario.",10%,0%,20%,109,1,,2.5,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Creación de un Preuniversitario comunal.,Pendiente,20%,Pendiente,Realizar difusión e inscripción de jóvenes en el preuniversitario comunal,20%,0%,20%,109,1,,2.6,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Creación de un Preuniversitario comunal.,Pendiente,20%,Pendiente,Implementación del preuniversitario comunal,20%,0%,20%,109,1,,2.7,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Creación de un Preuniversitario comunal.,Pendiente,20%,Pendiente,Evaluación de la iniciativa y caracterización de las juventudes inscritas en el preuniversitario comunal.,10%,0%,20%,109,1,,2.8,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Aumentar la cobertura de jornadas de orientación vocacional para ingreso a estudios superiores de nuestros jóvenes.,Pendiente,20%,Pendiente,Realizar un piloto de preuniversitario en alianza con Gobierno Regional y Preuniversitario en Red,10%,10%,10%,109,1,1,2.9,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Aumentar la cobertura de jornadas de orientación vocacional para ingreso a estudios superiores de nuestros jóvenes.,Pendiente,20%,Pendiente,Coordinar alianzas con organismos externos-intervinientes para establecer intercambio de experiencias sobre levantamiento de preuniversitarios comunales.,10%,10%,20%,109,1,,2.10,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Aumentar la cobertura de jornadas de orientación vocacional para ingreso a estudios superiores de nuestros jóvenes.,Pendiente,20%,Pendiente,"Realización de feria vocacional con la participación de diversas instituciones de educación superior (universidades, centros de formación técnica e institutos profesionales), con el objetivo de proporcionar orientación sobre el acceso a la educación superior.",50%,0%,20%,109,1,,2.11,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Aumentar la cobertura de jornadas de orientación vocacional para ingreso a estudios superiores de nuestros jóvenes.,Pendiente,20%,Pendiente,"Promover y difundir inscripción a capacitaciones sobre el Formulario Único de Acreditación Socioeconómica (FUAS) para acceso a gratuidad, becas y créditos",10%,0%,20%,109,1,,2.12,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Aumentar la cobertura de jornadas de orientación vocacional para ingreso a estudios superiores de nuestros jóvenes.,Pendiente,20%,Pendiente,Seguimiento y evaluación de la iniciativa,10%,0%,20%,109,1,,2.13,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar Escuela de Segunda Oportunidad, promoviendo la reinserción educativa para jóvenes desertores y regularización de estudios de mayores.",Pendiente,40%,Pendiente,Funcionamiento permanente de la Escuela de Segunda Oportunidad con recursos municipales,10%,10%,10%,109,1,1,2.14,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar Escuela de Segunda Oportunidad, promoviendo la reinserción educativa para jóvenes desertores y regularización de estudios de mayores.",Pendiente,40%,Pendiente,Elaboración de proyecto para postulación de fondos concursables externos que permitan ampliar el funcionamiento de la Escuela,20%,20%,30%,109,1,,2.15,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar Escuela de Segunda Oportunidad, promoviendo la reinserción educativa para jóvenes desertores y regularización de estudios de mayores.",Pendiente,40%,Pendiente,Postular a nuevos fondos externos destinados a la reinserción y/o nivelación educativa que permita ampliar la cantidad de profesores y profesionales de la escuela,20%,10%,40%,109,1,,2.16,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar Escuela de Segunda Oportunidad, promoviendo la reinserción educativa para jóvenes desertores y regularización de estudios de mayores.",Pendiente,40%,Pendiente,Contratación de personal de acuerdo a las bases del proyecto,10%,0%,40%,109,1,,2.17,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar Escuela de Segunda Oportunidad, promoviendo la reinserción educativa para jóvenes desertores y regularización de estudios de mayores.",Pendiente,40%,Pendiente,"Implementar la Escuela de Segunda Oportunidad, con la cobertura establecida en las bases del proyecto.",30%,0%,40%,109,1,,2.18,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar Escuela de Segunda Oportunidad, promoviendo la reinserción educativa para jóvenes desertores y regularización de estudios de mayores.",Pendiente,40%,Pendiente,"Elaborar informe de sistematización anual, para evaluación y mejora de futuros proyectos. ",10%,0%,40%,109,1,,2.19,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Fomentar que el Consejo local de niñez y juventud levante planes, propuestas e iniciativas hacia la comunidad y el municipio.",Pendiente,29%,Pendiente,Propuesta de Constitución del Consejo Local de niñez y juventud,10%,10%,10%,109,1,1,2.20,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Fomentar que el Consejo local de niñez y juventud levante planes, propuestas e iniciativas hacia la comunidad y el municipio.",Pendiente,29%,Pendiente,Propuesta del plan metodológico y estructura del Consejo Local (presentación del programa),20%,13%,23%,109,1,,2.21,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Fomentar que el Consejo local de niñez y juventud levante planes, propuestas e iniciativas hacia la comunidad y el municipio.",Pendiente,29%,Pendiente,Reuniones mensuales con integrantes del Consejo Local de niñez y juventud,30%,6%,29%,109,1,,2.22,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Fomentar que el Consejo local de niñez y juventud levante planes, propuestas e iniciativas hacia la comunidad y el municipio.",Pendiente,29%,Pendiente,"Elaboración de planes, propuestas e iniciativas de parte del Consejo local de niñez y juventud. Coordinación con otras Unidades y seguimiento a las propuestas",30%,0%,29%,109,1,,2.23,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Fomentar que el Consejo local de niñez y juventud levante planes, propuestas e iniciativas hacia la comunidad y el municipio.",Pendiente,29%,Pendiente,Evaluación de la iniciativa,10%,0%,29%,109,1,,2.24,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Expandir el plan de mejoramiento de juegos infantiles en plazas y espacios públicos.,Pendiente,9%,Pendiente,Identificar plazas y espacios públicos con necesidad de mejoramiento,5%,2%,2%,109,1,1,2.25,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Expandir el plan de mejoramiento de juegos infantiles en plazas y espacios públicos.,Pendiente,9%,Pendiente,Definir criterios y jerarquizar sectores de intervención,5%,2%,4%,109,1,,2.26,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Expandir el plan de mejoramiento de juegos infantiles en plazas y espacios públicos.,Pendiente,9%,Pendiente,Elaborar proyectos según requerimientos de financiamiento y necesidades territoriales,10%,5%,9%,109,1,,2.27,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Expandir el plan de mejoramiento de juegos infantiles en plazas y espacios públicos.,Pendiente,9%,Pendiente,Realizar encuentros con la comunidad y direcciones para validar diseños y definir necesidades específicas,5%,0%,9%,109,1,,2.28,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Expandir el plan de mejoramiento de juegos infantiles en plazas y espacios públicos.,Pendiente,9%,Pendiente,Gestionar recursos municipales y/o postulación a fondos externos,15%,0%,9%,109,1,,2.29,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Expandir el plan de mejoramiento de juegos infantiles en plazas y espacios públicos.,Pendiente,9%,Pendiente,Asignación de recursos,25%,0%,9%,109,1,,2.30,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Expandir el plan de mejoramiento de juegos infantiles en plazas y espacios públicos.,Pendiente,9%,Pendiente,Publicación de las bases administrativas para la compra e instalación de juegos infantiles y equipamiento urbano,10%,0%,9%,109,1,,2.31,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Expandir el plan de mejoramiento de juegos infantiles en plazas y espacios públicos.,Pendiente,9%,Pendiente,Adjudicación de juegos infantiles y equipamiento urbano,15%,0%,9%,109,1,,2.32,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,Expandir el plan de mejoramiento de juegos infantiles en plazas y espacios públicos.,Pendiente,9%,Pendiente,Instalación y recepción de los juegos infantiles y equipamiento urbano,10%,0%,9%,109,1,,2.33,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar la Cobertura del Centro de Salud Mental a niños, niñas y adolescentes.",Pendiente,20%,Pendiente,Elaboración de Diagnostico,10%,10%,10%,109,1,1,2.34,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar la Cobertura del Centro de Salud Mental a niños, niñas y adolescentes.",Pendiente,20%,Pendiente,Elaboración de proyecto ,10%,10%,20%,109,1,,2.35,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar la Cobertura del Centro de Salud Mental a niños, niñas y adolescentes.",Pendiente,20%,Pendiente,Identificación de terreno/ espacio estructural ,10%,0%,20%,109,1,,2.36,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar la Cobertura del Centro de Salud Mental a niños, niñas y adolescentes.",Pendiente,20%,Pendiente,Actualización de los costos del proyecto,10%,0%,20%,109,1,,2.37,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar la Cobertura del Centro de Salud Mental a niños, niñas y adolescentes.",Pendiente,20%,Pendiente,Elaboración bases de licitación para la habilitación del proyecto,10%,0%,20%,109,1,,2.38,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar la Cobertura del Centro de Salud Mental a niños, niñas y adolescentes.",Pendiente,20%,Pendiente,Adjudicación de Licitación,10%,0%,20%,109,1,,2.39,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar la Cobertura del Centro de Salud Mental a niños, niñas y adolescentes.",Pendiente,20%,Pendiente,Inicio de habilitación ,10%,0%,20%,109,1,,2.40,2,0
20%,"2. Apoyo a niños, niñas y jóvenes",23%,"Ampliar la Cobertura del Centro de Salud Mental a niños, niñas y adolescentes.",Pendiente,20%,Pendiente,Puesta en marcha ,30%,0%,20%,109,1,,2.41,2,0
20%,3. Mujer y Equidad de Género,36%,Creación de Dirección de la Mujer.,Pendiente,5%,Pendiente,Levantamiento de necesidades por dirección para modificación del organigrama y del Reglamento Interno.,10%,5%,5%,109,1,1,3.1,3,0
20%,3. Mujer y Equidad de Género,36%,Creación de Dirección de la Mujer.,Pendiente,5%,Pendiente,Informe de la DAF de viabilidad financiera para modificaciones.,15%,0%,5%,109,1,,3.2,3,0
20%,3. Mujer y Equidad de Género,36%,Creación de Dirección de la Mujer.,Pendiente,5%,Pendiente,Aprobación de las modificaciones por parte del Alcalde.,15%,0%,5%,109,1,,3.3,3,0
20%,3. Mujer y Equidad de Género,36%,Creación de Dirección de la Mujer.,Pendiente,5%,Pendiente,"Ingreso de la propuesta al Concejo Municipal, discusión y modificaciones.",10%,0%,5%,109,1,,3.4,3,0
20%,3. Mujer y Equidad de Género,36%,Creación de Dirección de la Mujer.,Pendiente,5%,Pendiente,Aprobación del Concejo Municipal.,15%,0%,5%,109,1,,3.5,3,0
20%,3. Mujer y Equidad de Género,36%,Creación de Dirección de la Mujer.,Pendiente,5%,Pendiente,Decreto de las modificaciones y del reglamento interno,15%,0%,5%,109,1,,3.6,3,0
20%,3. Mujer y Equidad de Género,36%,Creación de Dirección de la Mujer.,Pendiente,5%,Pendiente,"Implementar Dirección, con modificaciones presupuestarias, destinación de personal y bienes muebles.",20%,0%,5%,109,1,,3.7,3,0
20%,3. Mujer y Equidad de Género,36%,Ampliar la cobertura de los buses de mamografías en los territorios.,Pendiente,45%,Pendiente,Elaboración de las bases de licitación,10%,10%,10%,109,1,1,3.8,3,0
20%,3. Mujer y Equidad de Género,36%,Ampliar la cobertura de los buses de mamografías en los territorios.,Pendiente,45%,Pendiente,Definición de contrato del prestador de servicios,5%,5%,15%,109,1,,3.9,3,0
20%,3. Mujer y Equidad de Género,36%,Ampliar la cobertura de los buses de mamografías en los territorios.,Pendiente,45%,Pendiente,Recepción de la resolución exenta del programa de imágenes diagnósticas del Ministerio de Salud,10%,10%,25%,109,1,,3.10,3,0
20%,3. Mujer y Equidad de Género,36%,Ampliar la cobertura de los buses de mamografías en los territorios.,Pendiente,45%,Pendiente,Definición del número de atención en los operativos,5%,5%,30%,109,1,,3.11,3,0
20%,3. Mujer y Equidad de Género,36%,Ampliar la cobertura de los buses de mamografías en los territorios.,Pendiente,45%,Pendiente,Planificación de los operativos,10%,10%,40%,109,1,,3.12,3,0
20%,3. Mujer y Equidad de Género,36%,Ampliar la cobertura de los buses de mamografías en los territorios.,Pendiente,45%,Pendiente,Definir la estrategia comunicacional para difundir el servicio de mamografías en los territorios,5%,0%,40%,109,1,,3.13,3,0
20%,3. Mujer y Equidad de Género,36%,Ampliar la cobertura de los buses de mamografías en los territorios.,Pendiente,45%,Pendiente,Ejecución de los operativos en los territorios ,30%,5%,45%,109,1,,3.14,3,0
20%,3. Mujer y Equidad de Género,36%,Ampliar la cobertura de los buses de mamografías en los territorios.,Pendiente,45%,Pendiente,Evaluación técnica y financiera del servicio con foco en la identificación de nuevas coberturas ,25%,0%,45%,109,1,,3.15,3,0
20%,3. Mujer y Equidad de Género,36%,"Promover actividades recreativas: Caminatas, treking, salidas terapéuticas, entre otras.",Pendiente,35%,Pendiente,"Planificación anual de actividades recreativas, deportivas y terapéuticas.",20%,20%,20%,109,1,1,3.16,3,0
20%,3. Mujer y Equidad de Género,36%,"Promover actividades recreativas: Caminatas, treking, salidas terapéuticas, entre otras.",Pendiente,35%,Pendiente,"Ejecutar actividades recreativas en el contexto de hitos relevantes del año: día de la mujer, día de la madre, día de la no violencia.",35%,15%,35%,109,1,,3.17,3,0
20%,3. Mujer y Equidad de Género,36%,"Promover actividades recreativas: Caminatas, treking, salidas terapéuticas, entre otras.",Pendiente,35%,Pendiente,"Ejecutar salidas terapéuticas, de trekking y caminatas.",35%,0%,35%,109,1,,3.18,3,0
20%,3. Mujer y Equidad de Género,36%,"Promover actividades recreativas: Caminatas, treking, salidas terapéuticas, entre otras.",Pendiente,35%,Pendiente,Evaluación final de actividades realizadas.,10%,0%,35%,109,1,,3.19,3,0
20%,3. Mujer y Equidad de Género,36%,Construir Eco Huerta Medicinal. Terapias alternativas en Espacio Mujeres.,Pendiente,60%,Pendiente,Elaboración de proyecto de Ecohuerta Medicinal ,20%,20%,20%,109,1,1,3.20,3,0
20%,3. Mujer y Equidad de Género,36%,Construir Eco Huerta Medicinal. Terapias alternativas en Espacio Mujeres.,Pendiente,60%,Pendiente,Habilitación Ecohuerta y eco huerta Medicinal ,25%,15%,35%,109,1,,3.21,3,0
20%,3. Mujer y Equidad de Género,36%,Construir Eco Huerta Medicinal. Terapias alternativas en Espacio Mujeres.,Pendiente,60%,Pendiente,Inauguración Eco Huerta Medicinal,20%,20%,55%,109,1,,3.22,3,0
20%,3. Mujer y Equidad de Género,36%,Construir Eco Huerta Medicinal. Terapias alternativas en Espacio Mujeres.,Pendiente,60%,Pendiente,Ejecución de talleres Eco Huerta Medicinal.,25%,5%,60%,109,1,,3.23,3,0
20%,3. Mujer y Equidad de Género,36%,Construir Eco Huerta Medicinal. Terapias alternativas en Espacio Mujeres.,Pendiente,60%,Pendiente,Evaluación final de actividades realizadas.,10%,0%,60%,109,1,,3.24,3,0
20%,3. Mujer y Equidad de Género,36%,Generar encuentros participativos y talleres comunitarios para la protección de las mujeres.,Pendiente,35%,Pendiente,Planificación anual de encuentros participativos y talleres comunitarios.,20%,20%,20%,109,1,1,3.25,3,0
20%,3. Mujer y Equidad de Género,36%,Generar encuentros participativos y talleres comunitarios para la protección de las mujeres.,Pendiente,35%,Pendiente,Implementación de talleres de oficio y talleres recreativos.,35%,5%,25%,109,1,,3.26,3,0
20%,3. Mujer y Equidad de Género,36%,Generar encuentros participativos y talleres comunitarios para la protección de las mujeres.,Pendiente,35%,Pendiente,Desarrollo de hitos conmemorativos de temática mujeres.,35%,10%,35%,109,1,,3.27,3,0
20%,3. Mujer y Equidad de Género,36%,Generar encuentros participativos y talleres comunitarios para la protección de las mujeres.,Pendiente,35%,Pendiente,Evaluación de talleres e hitos desarrollados.,10%,0%,35%,109,1,,3.28,3,0
20%,3. Mujer y Equidad de Género,36%,"Aumentar redes educacionales, tales como talleres, cursos y seminarios para mujeres.",Pendiente,30%,Pendiente,"Planificación anual de reuniones con entidades públicas y privadas para generar vinculación y desarrollar talleres, cursos y seminarios a las mujeres.",20%,10%,10%,109,1,1,3.29,3,0
20%,3. Mujer y Equidad de Género,36%,"Aumentar redes educacionales, tales como talleres, cursos y seminarios para mujeres.",Pendiente,30%,Pendiente,Firma de convenios con instituciones educacionales,20%,10%,20%,109,1,,3.30,3,0
20%,3. Mujer y Equidad de Género,36%,"Aumentar redes educacionales, tales como talleres, cursos y seminarios para mujeres.",Pendiente,30%,Pendiente,"Ejecutar talleres, cursos, charlas, seminarios, encuentros, entre otros.",30%,10%,30%,109,1,,3.31,3,0
20%,3. Mujer y Equidad de Género,36%,"Aumentar redes educacionales, tales como talleres, cursos y seminarios para mujeres.",Pendiente,30%,Pendiente,Ceremonia de cierre de actividades con asistencia de autoridades,20%,0%,30%,109,1,,3.32,3,0
20%,3. Mujer y Equidad de Género,36%,"Aumentar redes educacionales, tales como talleres, cursos y seminarios para mujeres.",Pendiente,30%,Pendiente,Evaluación de vinculaciones realizadas  ,10%,0%,30%,109,1,,3.33,3,0
20%,3. Mujer y Equidad de Género,36%,Aumentar programas de emprendimiento y autonomía económica.,Pendiente,30%,Pendiente,Diagnóstico y evaluación de programas ejecutados el año 2024 de emprendimiento,10%,10%,10%,109,1,1,3.34,3,0
20%,3. Mujer y Equidad de Género,36%,Aumentar programas de emprendimiento y autonomía económica.,Pendiente,30%,Pendiente,"Diseño de programa 2025 de emprendimiento, calendario de ferias y academias para fortalecer habilidades de pequeños emprendedores",20%,20%,30%,109,1,,3.35,3,0
20%,3. Mujer y Equidad de Género,36%,Aumentar programas de emprendimiento y autonomía económica.,Pendiente,30%,Pendiente,"Rediseño de política municipal de desarrollo económico, con líneas estratégicas para el mediano plazo. Actualización del Plan Anual de Desarrollo Económico Comunal",30%,0%,30%,109,1,,3.36,3,0
